CHEMBL_ID,Is_Natural_Product,Is_Anaglesic,pka_acid,Smiles
CHEMBL485,1,1,13.78,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
CHEMBL70,1,1,10.26,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
CHEMBL113,1,0,10.754000000000001,Cn1c(=O)c2c(ncn2C)n(C)c1=O
CHEMBL3,1,0,10.754000000000001,CN1CCC[C@H]1c1cccnc1
CHEMBL517712,1,0,10.754000000000001,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL170,1,0,13.89,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
CHEMBL4596781,0,0,10.754000000000001,Clc1ccc(OCCCn2c3c(c4c(Cl)cccc42)CCNC3)cc1
CHEMBL4803817,0,0,6.96,CCOc1cc2c(cc1OCCCN)-c1c(c(Nc3cccc(C(=O)CC)n3)nn1C)C2
CHEMBL4597035,0,0,10.754000000000001,CCCCCC/C=C/c1ccc(CO[C@H]2C[C@H](CO)N(C)C2)cc1
CHEMBL5028438,0,0,8.88,Oc1cccc([C+](c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)c1
CHEMBL5028232,0,0,10.754000000000001,CCCCCCCCCC(C)C1OCc2c(C[N+](C)(C)CCCNC(=O)CCCCC)cnc(C)c2O1
